#OTU ID,BassGCP-20180527-01-nc.blast,BassGCP-20180527-02-nc.blast,BassGCP-20180717-01-nc.blast,BassGCP-20180717-02-nc.blast,CA-EDWD-20180527-01-nc.blast,CA-MANZA-20180527-01-nc.blast,CA-MANZA-20180527-02-nc.blast,CA-MANZA-20180715-01-PCR01-nc.blast,CA-MANZA-20180715-01-PCR02-nc.blast,CA-MANZA-20180715-01-PCR03-nc.blast,CA-MANZA-20180715-01-nc.blast,CA-MANZA-20180715-02-PCR01-nc.blast,CA-MANZA-20180715-02-PCR02-nc.blast,CA-MANZA-20180715-02-PCR03-nc.blast,CA-MANZA-20180715-02-nc.blast,CA-Pig-20180717-01-nc.blast,CA-Pig-20180717-02-nc.blast,Ca-Pig-20180527-01-nc.blast,Ca-Pig-20180527-02-nc.blast,CabinBOR-20180530-01-nc.blast,CabinBOR-20180530-02-nc.blast,CabinBOR-20180714-01-nc.blast,CabinBOR-20180714-02-nc.blast,EN-MES-072018-nc.blast,EN-MES-072518-nc.blast,EN-MJS-090718-nc.blast,EagleGCP-20180527-01-nc.blast,EagleGCP-20180527-02-nc.blast,EagleGCP-20180717-01-PCR01-nc.blast,EagleGCP-20180717-01-PCR02-nc.blast,EagleGCP-20180717-01-PCR03-nc.blast,EagleGCP-20180717-01-nc.blast,EagleGCP-20180717-02-PCR01-nc.blast,EagleGCP-20180717-02-PCR02-nc.blast,EagleGCP-20180717-02-PCR03-nc.blast,EagleGCP-20180717-02-nc.blast,GlorGCP-20180527-01-nc.blast,GlorGCP-20180527-02-nc.blast,GlorGCP-20180715-01-nc.blast,GlorGCP-20180715-02-nc.blast,GrampsBOR-20180601-01-nc.blast,GrampsBOR-20180601-02-nc.blast,GrampsBOR-20180714-01-PCR01-nc.blast,GrampsBOR-20180714-01-PCR02-nc.blast,GrampsBOR-20180714-01-PCR03-nc.blast,GrampsBOR-20180714-01-nc.blast,GrampsBOR-20180714-02-PCR01-nc.blast,GrampsBOR-20180714-02-PCR02-nc.blast,GrampsBOR-20180714-02-PCR03-nc.blast,GrampsBOR-20180714-02-nc.blast,HeronGCP-20180527-01-nc.blast,HeronGCP-20180527-02-nc.blast,HeronGCP-20180717-01-nc.blast,HeronGCP-20180717-02-nc.blast,KAMM-20180527-01-nc.blast,KAMM-20180527-02-nc.blast,KAMM-20180714-01-nc.blast,KAMM-20180714-02-nc.blast,NegCtrl-20180525-03-nc.blast,NegCtrl-20180527-01-nc.blast,NegCtrl-20180527-02-nc.blast,NegCtrl-20180601-01-nc.blast,NegCtrl-20180714-01-nc.blast,NegCtrl-20180715-01-nc.blast,NegCtrl-20180717-01-nc.blast,NorthGCP-20180527-01-nc.blast,NorthGCP-20180527-02-nc.blast,NorthGCP-20180715-01-nc.blast,NorthGCP-20180715-02-nc.blast,NtalkGCP-20180527-01-nc.blast,NtalkGCP-20180527-02-nc.blast,NtalkGCP-20180715-01-nc.blast,PPKBOR-20180601-01-nc.blast,PPKBOR-20180601-02-nc.blast,PPKBOR-20180714-01-nc.blast,PPKBOR-20180714-02-nc.blast,PPKBOR-20180714-03-nc.blast,Plate01-PCR-Negative-PCR01-nc.blast,Plate01-PCR-Negative-PCR02-nc.blast,Plate01-PCR-Negative-PCR03-nc.blast,Plate01-PCR-Positive-PCR01-nc.blast,Plate01-PCR-Positive-PCR02-nc.blast,Plate01-PCR-Positive-PCR03-nc.blast,Plate04-PCR-Negative-nc.blast,Plate04-PCR-Positive-nc.blast,Plate05-PCR-Positive-nc.blast,Plate06-PCR-Negative-nc.blast,Plate06-PCR-Positive-nc.blast,Plate07-PCR-Negative-nc.blast,Plate07-PCR-Positive-nc.blast,Plate08-PCR-Positive-nc.blast,RLSNKGCP-20180527-01-nc.blast,RLSNKGCP-20180527-02-nc.blast,RLSNKGCP-20180715-01-nc.blast,RLSNKGCP-20180715-02-nc.blast,RonJRGCP-20180527-01-nc.blast,RonJRGCP-20180527-02-nc.blast,RonJRGCP-20180716-01-PCR01-nc.blast,RonJRGCP-20180716-01-PCR02-nc.blast,RonJRGCP-20180716-01-PCR03-nc.blast,RonJRGCP-20180716-01-nc.blast,RonJRGCP-20180716-02-PCR01-nc.blast,RonJRGCP-20180716-02-PCR02-nc.blast,RonJRGCP-20180716-02-PCR03-nc.blast,RonJRGCP-20180716-02-nc.blast,ShptlGCP-20180527-01-nc.blast,ShptlGCP-20180527-02-nc.blast,ShptlGCP-20180527-03-nc.blast,ShptlGCP-20180715-01-PCR01-nc.blast,ShptlGCP-20180715-01-PCR02-nc.blast,ShptlGCP-20180715-01-PCR03-nc.blast,ShptlGCP-20180715-01-nc.blast,ShptlGCP-20180715-02-PCR01-nc.blast,ShptlGCP-20180715-02-PCR02-nc.blast,ShptlGCP-20180715-02-PCR03-nc.blast,ShptlGCP-20180715-02-nc.blast,UCTBOR-20180601-01-nc.blast,UCTBOR-20180601-02-nc.blast,UCTBOR-20180714-01-nc.blast,UCTBOR-20180714-02-nc.blast,WDMLGCP-20180527-01-nc.blast,WDMLGCP-20180527-02-nc.blast,WDMLGCP-20180714-01-nc.blast,WDMLGCP-20180714-02-nc.blast,WashGCP-20180525-01-nc.blast,WashGCP-20180525-02-nc.blast,WashGCP-20180714-01-nc.blast,WashGCP-20180714-02-nc.blast,YBBA-20180527-01-nc.blast,YBBA-20180527-02-nc.blast,YBBA-20180715-01-nc.blast,YBBA-20180715-02-nc.blast,taxomomy
s__Aix_sponsa,0,0,0,0,0,114,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Anseriformes', 'f__Anatidae', 'g__Aix', 's__Aix_sponsa']"
s__Anas_carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Anseriformes', 'f__Anatidae', 'g__Anas', 's__Anas_carolinensis']"
s__Mareca_americana,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3487,5770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,0,5,0,175,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,3,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Anseriformes', 'f__Anatidae', 'g__Mareca', 's__Mareca_americana']"
s__Mergus_merganser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Anseriformes', 'f__Anatidae', 'g__Mergus', 's__Mergus_merganser']"
s__Charadrius_vociferus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Charadriiformes', 'f__Charadriidae', 'g__Charadrius', 's__Charadrius_vociferus']"
s__Columba_livia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,1850,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Columbiformes', 'f__Columbidae', 'g__Columba', 's__Columba_livia']"
s__Patagioenas_fasciata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Columbiformes', 'f__Columbidae', 'g__Patagioenas', 's__Patagioenas_fasciata']"
s__Callipepla_californica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Galliformes', 'f__Odontophoridae', 'g__Callipepla', 's__Callipepla_californica']"
s__Meleagris_gallopavo,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,1485,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Galliformes', 'f__Phasianidae', 'g__Meleagris', 's__Meleagris_gallopavo']"
s__Fulica_americana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,736,0,0,0,0,0,0,5361,7174,12060,12617,3935,4556,3684,0,9456,6121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,202,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Gruiformes', 'f__Rallidae', 'g__Fulica', 's__Fulica_americana']"
