sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
Plate01-PCR-Negative-PCR03,4344,2,2,0,2,1,1,3,0,0
Plate01-PCR-Positive-PCR01,3282,2478,2340,138,2336,1,30,3,4,961
Plate01-PCR-Positive-PCR02,3286,2513,2398,115,2398,1,25,3,6,1195
Plate01-PCR-Positive-PCR03,4730,3675,3494,181,3474,1,58,3,10,1748
Plate04-PCR-Negative,22438,58,0,58,0,1,2,3,0,0
Plate04-PCR-Positive,4108,3110,2920,190,2920,1,38,3,7,1520
Plate05-PCR-Negative,22698,38,2,36,0,1,0,0,0,0
Plate05-PCR-Positive,9290,7969,7592,377,7590,1,77,3,11,3826
Plate06-PCR-Negative,38562,286,4,282,2,1,9,3,0,0
Plate06-PCR-Positive,7900,6129,5764,365,5762,1,71,3,10,2893
Plate07-PCR-Negative,4220,17,2,15,2,1,10,3,1,4
Plate07-PCR-Positive,8902,2990,2826,164,2826,1,38,3,5,1443
Plate08-PCR-Negative,11598,0,0,0,0,1,0,0,0,0
Plate08-PCR-Positive,2160,1797,1728,69,1728,1,24,3,4,874
RLSNKGCP-20180527-01,105750,95062,91318,3744,86432,1,562,3,169,46396
RLSNKGCP-20180527-02,100240,88618,84980,3638,79600,1,583,3,151,41675
RLSNKGCP-20180715-01,114092,104379,100178,4201,100060,1,472,3,167,51003
RLSNKGCP-20180715-02,136246,122885,117220,5665,111006,1,752,3,199,59760
RonJRGCP-20180527-01,79554,63161,60742,2419,60704,1,517,3,84,31273
RonJRGCP-20180527-02,756530,703105,681746,21359,678564,1,1419,3,532,348774
RonJRGCP-20180716-01,221850,198350,189882,8468,189694,1,162,3,19,10844
RonJRGCP-20180716-01-PCR01,24410,22240,21380,860,21290,1,464,3,191,66532
RonJRGCP-20180716-01-PCR02,147312,132613,126924,5689,126386,1,574,3,220,85406
RonJRGCP-20180716-01-PCR03,190738,172509,165540,6969,164788,1,581,3,248,99093
RonJRGCP-20180716-02,83418,72565,68518,4047,68422,1,544,3,237,108721
RonJRGCP-20180716-02-PCR01,242504,220113,211620,8493,211404,1,492,3,211,78516
RonJRGCP-20180716-02-PCR02,173952,156388,149784,6604,149636,1,503,3,209,80436
RonJRGCP-20180716-02-PCR03,179332,162485,156208,6277,155978,1,396,3,153,36524
ShptlGCP-20180527-01,258434,214435,204214,10221,170762,1,1142,3,385,101535
ShptlGCP-20180527-02,222582,196973,187260,9713,153116,1,1201,3,382,85699
ShptlGCP-20180527-03,211490,186321,177394,8927,149818,1,1219,3,373,87318
ShptlGCP-20180715-01,84686,73520,69188,4332,63690,1,1024,3,255,64715
ShptlGCP-20180715-01-PCR01,177798,158989,152734,6255,127776,1,765,3,227,51689
ShptlGCP-20180715-01-PCR02,151812,131227,124968,6259,112508,1,686,3,252,59000
ShptlGCP-20180715-01-PCR03,140068,121235,116568,4667,93950,1,566,3,130,28489
ShptlGCP-20180715-02,213794,188339,178478,9861,79522,1,706,3,303,77719
ShptlGCP-20180715-02-PCR01,179270,160071,154244,5827,75724,1,902,3,288,75518
ShptlGCP-20180715-02-PCR02,174788,156902,150848,6054,92830,1,756,3,273,65030
ShptlGCP-20180715-02-PCR03,150862,133804,128706,5098,63812,1,1048,3,336,85985
UCTBOR-20180601-01,147108,133930,129200,4730,129180,1,681,3,225,66820
UCTBOR-20180601-02,118868,105277,101040,4237,101020,1,687,3,199,52326
UCTBOR-20180714-01,45742,19050,17978,1072,14366,1,281,3,33,8943
UCTBOR-20180714-02,56404,27452,25792,1660,21438,1,311,3,54,11695
WDMLGCP-20180527-01,183378,170987,165856,5131,165856,1,522,3,224,84928
WDMLGCP-20180527-02,118390,107819,104760,3059,104758,1,361,3,172,53515
WDMLGCP-20180714-01,225314,201581,192466,9115,192354,1,411,3,230,97340
WDMLGCP-20180714-02,437240,404918,386940,17978,386932,1,613,3,311,195863
WashGCP-20180525-01,167274,151121,144478,6643,113528,1,869,3,281,74450
WashGCP-20180525-02,102388,90799,86798,4001,71536,1,620,3,183,43914
WashGCP-20180714-01,44586,39784,37892,1892,37660,1,328,3,47,18754
WashGCP-20180714-02,133584,122143,116360,5783,116356,1,642,3,196,58636
YBBA-20180527-01,72218,64002,61588,2414,61574,1,467,3,98,31824
YBBA-20180527-02,586840,535746,516608,19138,516564,1,1258,3,574,266159
YBBA-20180715-01,188272,168169,159714,8455,155342,1,969,3,274,80748
YBBA-20180715-02,311530,280161,265490,14671,264272,1,1241,3,381,134112
